From agency,To agency,Relationship type,Description,Status
PacifiCorp,USFS,emergency response coordination,,
PG&E,PacifiCorp,info/research,,
PGE,PacifiCorp,info/research,,
EWEB,PacifiCorp,info/research,,
PacifiCorp,PG&E,info/research,,
PacifiCorp,PGE,info/research,,
PacifiCorp,EWEB,info/research,,
PG&E,PacifiCorp,emergency response coordination,,
PGE,PacifiCorp,emergency response coordination,,
EWEB,PacifiCorp,emergency response coordination,,
PacifiCorp,PG&E,emergency response coordination,,
PacifiCorp,PGE,emergency response coordination,,
PacifiCorp,EWEB,emergency response coordination,,
PBEM,PacifiCorp,emergency response coordination,,
PacifiCorp,PBEM,emergency response coordination,,
CPUC,PacifiCorp,funding,,
OPUC,PacifiCorp,funding,,
WPUC,PacifiCorp,funding,,
CPUC,PacifiCorp,info/research,regulatory oversight/resilience project,
OPUC,PacifiCorp,info/research,regulatory oversight/resilience project,
WPUC,PacifiCorp,info/research,regulatory oversight/resilience project,
EEI,PacifiCorp,info/research,,
PacifiCorp,EEI,info/research,,
WEI,PacifiCorp,info/research,,
PacifiCorp,WEI,info/research,,
WAEAS,PacifiCorp,emergency response coordination,,
CalEAS,PacifiCorp,emergency response coordination,,
OREAS,PacifiCorp,emergency response coordination,,
BPA,PacifiCorp,info/research,,
PacifiCorp,BPA,info/research,,
BPA,PacifiCorp,emergency response coordination,,
PacifiCorp,BPA,emergency response coordination,,
dogami,PacifiCorp,data,,
dogami,PacifiCorp,tools/products,,
SCEC,PacifiCorp,info/research,,
eeri,PacifiCorp,info/research,,
CRESCENT,PacifiCorp,info/research,,
ECA,PacifiCorp,info/research,,
CAmedia,PacifiCorp,info/research,,
ORmedia,PacifiCorp,info/research,,
WAmedia,PacifiCorp,info/research,,
PacifiCorp,CAmedia,info/research,,
PacifiCorp,ORmedia,info/research,,
PacifiCorp,WAmedia,info/research,,
OEM,OR-Gov,emergency response coordination,,
dogami,OR-Gov,emergency response coordination,,
CRESCENT,OR-Gov,emergency response coordination,,
copes,OR-Gov,emergency response coordination,,
OSSPAC,OR-Gov,emergency response coordination,,
FEMA,OR-Gov,emergency response coordination,,
eeri,OR-Gov,emergency response coordination,,
OR-Gov,OEM,emergency response coordination,,
OR-Gov,dogami,emergency response coordination,,
OR-Gov,CRESCENT,emergency response coordination,,
OR-Gov,copes,emergency response coordination,,
OR-Gov,OSSPAC,emergency response coordination,,
PBEM,OR-Gov,emergency response coordination,,
OR-Gov,PBEM,emergency response coordination,,
SalemOEM,OR-Gov,emergency response coordination,,
OR-Gov,SalemOEM,emergency response coordination,,
ClackCo,Osspac,info/research,"policy, members advice",
ClackCo,oem,info/research,represent,
oem,ClackCo,funding,,
ClackCo,RDPO,emergency response coordination,,
RDPO,ClackCo,emergency response coordination,,
dogami,ClackCo,tools/products,,
CREW,ClackCo,info/research,"policy, scenarios",
EERi,ClackCo,info/research,"policy, scenarios",
ClackCo,CRESCENT,info/research,,
